LocationType,Location,TimeFrame,DataFormat,Data
County,Bourbon,2013-2015,Percent,0.082
County,Bourbon,2014-2016,Percent,0.08309
County,Bourbon,2015-2017,Percent,0.076
County,Boyd,2008-2010,Percent,0.108
County,Boyd,2009-2011,Percent,0.111
County,Boyd,2010-2012,Percent,0.104
County,Boyd,2011-2013,Percent,0.105
County,Boyd,2012-2014,Percent,0.103
County,Boyd,2013-2015,Percent,0.104
County,Boyd,2014-2016,Percent,0.10005
County,Boyd,2015-2017,Percent,0.095
County,Boyle,2008-2010,Percent,0.079
County,Boyle,2009-2011,Percent,0.077
County,Boyle,2010-2012,Percent,0.08
County,Boyle,2011-2013,Percent,0.09
County,Boyle,2012-2014,Percent,0.087
County,Boyle,2013-2015,Percent,0.083
County,Boyle,2014-2016,Percent,0.07716
County,Boyle,2015-2017,Percent,0.081
County,Bracken,2008-2010,Percent,0.084
County,Bracken,2009-2011,Percent,0.113
County,Bracken,2010-2012,Percent,0.118
County,Bracken,2011-2013,Percent,0.121
County,Bracken,2012-2014,Percent,0.082
County,Bracken,2013-2015,Percent,0.099
County,Bracken,2014-2016,Percent,0.08754
County,Bracken,2015-2017,Percent,0.103
County,Breathitt,2008-2010,Percent,0.107
County,Breathitt,2009-2011,Percent,0.093
County,Breathitt,2010-2012,Percent,0.093
County,Breathitt,2011-2013,Percent,0.101
County,Breathitt,2012-2014,Percent,0.11
County,Breathitt,2013-2015,Percent,0.119
County,Breathitt,2014-2016,Percent,0.10548
County,Breathitt,2015-2017,Percent,0.108
County,Breckinridge,2008-2010,Percent,0.075
County,Breckinridge,2009-2011,Percent,0.082
County,Breckinridge,2010-2012,Percent,0.107
County,Breckinridge,2011-2013,Percent,0.093
County,Breckinridge,2012-2014,Percent,0.096
County,Breckinridge,2013-2015,Percent,0.074
County,Breckinridge,2014-2016,Percent,0.08146
County,Breckinridge,2015-2017,Percent,0.077
County,Bullitt,2008-2010,Percent,0.08
County,Bullitt,2009-2011,Percent,0.082
County,Bullitt,2010-2012,Percent,0.083
County,Bullitt,2011-2013,Percent,0.08
County,Bullitt,2012-2014,Percent,0.076
County,Bullitt,2013-2015,Percent,0.07
County,Bullitt,2014-2016,Percent,0.07228
County,Bullitt,2015-2017,Percent,0.079
County,Butler,2008-2010,Percent,0.12
County,Butler,2009-2011,Percent,0.13
County,Butler,2010-2012,Percent,0.125
County,Butler,2011-2013,Percent,0.096
County,Butler,2012-2014,Percent,0.081
County,Butler,2013-2015,Percent,0.078
County,Butler,2014-2016,Percent,0.06926
County,Butler,2015-2017,Percent,0.067
County,Caldwell,2008-2010,Percent,0.094
County,Caldwell,2009-2011,Percent,0.098
County,Caldwell,2010-2012,Percent,0.091
County,Caldwell,2011-2013,Percent,0.078
County,Caldwell,2012-2014,Percent,0.079
County,Caldwell,2013-2015,Percent,0.086
County,Caldwell,2014-2016,Percent,0.09174
County,Caldwell,2015-2017,Percent,0.091
County,Calloway,2008-2010,Percent,0.078
County,Calloway,2009-2011,Percent,0.071
County,Calloway,2010-2012,Percent,0.077
County,Calloway,2011-2013,Percent,0.068
County,Calloway,2012-2014,Percent,0.073
County,Calloway,2013-2015,Percent,0.066
County,Calloway,2014-2016,Percent,0.0674
County,Calloway,2015-2017,Percent,0.069
County,Campbell,2008-2010,Percent,0.084
County,Campbell,2009-2011,Percent,0.095
County,Campbell,2010-2012,Percent,0.091
County,Campbell,2011-2013,Percent,0.092
County,Campbell,2012-2014,Percent,0.082
County,Campbell,2013-2015,Percent,0.084
County,Campbell,2014-2016,Percent,0.08237
County,Campbell,2015-2017,Percent,0.078
County,Carlisle,2008-2010,Percent,0.057
County,Carlisle,2009-2011,Percent,0.056
County,Carlisle,2010-2012,Percent,0.065
County,Carlisle,2011-2013,Percent,0.08
County,Carlisle,2012-2014,Percent,0.05
County,Carlisle,2013-2015,Percent,0.056
County,Carlisle,2014-2016,Percent,0.0553
County,Carlisle,2015-2017,Percent,0.067
County,Carroll,2008-2010,Percent,0.071
County,Carroll,2009-2011,Percent,0.08
County,Carroll,2010-2012,Percent,0.087
County,Carroll,2011-2013,Percent,0.082
County,Carroll,2012-2014,Percent,0.075
County,Carroll,2013-2015,Percent,0.073
County,Carroll,2014-2016,Percent,0.07911
County,Carroll,2015-2017,Percent,0.092
County,Carter,2008-2010,Percent,0.098
County,Carter,2009-2011,Percent,0.104
County,Carter,2010-2012,Percent,0.097
County,Carter,2011-2013,Percent,0.105
County,Carter,2012-2014,Percent,0.09
County,Carter,2013-2015,Percent,0.085
County,Carter,2014-2016,Percent,0.07726
County,Carter,2015-2017,Percent,0.081
County,Casey,2008-2010,Percent,0.07
County,Casey,2009-2011,Percent,0.087
County,Casey,2010-2012,Percent,0.097
County,Casey,2011-2013,Percent,0.099
County,Casey,2012-2014,Percent,0.088
County,Casey,2013-2015,Percent,0.091
County,Casey,2014-2016,Percent,0.08581
County,Casey,2015-2017,Percent,0.085
County,Christian,2008-2010,Percent,0.09
County,Christian,2009-2011,Percent,0.089
County,Christian,2010-2012,Percent,0.094
County,Christian,2011-2013,Percent,0.097
County,Christian,2012-2014,Percent,0.094
County,Christian,2013-2015,Percent,0.092
County,Christian,2014-2016,Percent,0.09306
County,Christian,2015-2017,Percent,0.097
County,Clark,2008-2010,Percent,0.097
County,Clark,2009-2011,Percent,0.101
County,Clark,2010-2012,Percent,0.101
County,Clark,2011-2013,Percent,0.09
County,Clark,2012-2014,Percent,0.092
County,Clark,2013-2015,Percent,0.091
County,Clark,2014-2016,Percent,0.09734
County,Clark,2015-2017,Percent,0.092
County,Clay,2008-2010,Percent,0.108
County,Clay,2009-2011,Percent,0.118
County,Clay,2010-2012,Percent,0.129
County,Clay,2011-2013,Percent,0.13
County,Clay,2012-2014,Percent,0.136
County,Clay,2013-2015,Percent,0.122
County,Clay,2014-2016,Percent,0.1093
County,Clay,2015-2017,Percent,0.093
County,Clinton,2008-2010,Percent,0.112
County,Clinton,2009-2011,Percent,0.106
County,Clinton,2010-2012,Percent,0.111
County,Clinton,2011-2013,Percent,0.076
County,Clinton,2012-2014,Percent,0.088
County,Clinton,2013-2015,Percent,0.087
County,Clinton,2014-2016,Percent,0.09167
County,Clinton,2015-2017,Percent,0.079
County,Crittenden,2008-2010,Percent,0.1
County,Crittenden,2009-2011,Percent,0.088
County,Crittenden,2010-2012,Percent,0.068
County,Crittenden,2011-2013,Percent,0.076
County,Crittenden,2012-2014,Percent,0.089
County,Crittenden,2013-2015,Percent,0.093
County,Crittenden,2014-2016,Percent,0.08117
County,Crittenden,2015-2017,Percent,0.061
County,Cumberland,2008-2010,Percent,0.106
County,Cumberland,2009-2011,Percent,0.104
County,Cumberland,2010-2012,Percent,0.082
County,Cumberland,2011-2013,Percent,0.073
County,Cumberland,2012-2014,Percent,0.059
County,Cumberland,2013-2015,Percent,0.083
County,Cumberland,2014-2016,Percent,0.07826
County,Cumberland,2015-2017,Percent,0.083
County,Daviess,2008-2010,Percent,0.085
County,Daviess,2009-2011,Percent,0.08
County,Daviess,2010-2012,Percent,0.08
County,Daviess,2011-2013,Percent,0.077
County,Daviess,2012-2014,Percent,0.08
County,Daviess,2013-2015,Percent,0.073
County,Daviess,2014-2016,Percent,0.07512
County,Daviess,2015-2017,Percent,0.078
County,Edmonson,2008-2010,Percent,0.09
County,Edmonson,2009-2011,Percent,0.079
County,Edmonson,2010-2012,Percent,0.08
County,Edmonson,2011-2013,Percent,0.07
County,Edmonson,2012-2014,Percent,0.074
County,Edmonson,2013-2015,Percent,0.065
County,Edmonson,2014-2016,Percent,0.07331
County,Edmonson,2015-2017,Percent,0.074
County,Elliott,2008-2010,Percent,0.119
County,Elliott,2009-2011,Percent,0.138
County,Elliott,2010-2012,Percent,0.124
County,Elliott,2011-2013,Percent,0.109
County,Elliott,2012-2014,Percent,0.093
County,Elliott,2013-2015,Percent,0.104
County,Elliott,2014-2016,Percent,0.10044
County,Elliott,2015-2017,Percent,0.099
County,Estill,2008-2010,Percent,0.086
County,Estill,2009-2011,Percent,0.091
County,Estill,2010-2012,Percent,0.088
County,Estill,2011-2013,Percent,0.099
County,Estill,2012-2014,Percent,0.085
County,Estill,2013-2015,Percent,0.091
County,Estill,2014-2016,Percent,0.06987
County,Estill,2015-2017,Percent,0.079
County,Fayette,2008-2010,Percent,0.086
County,Fayette,2009-2011,Percent,0.089
County,Fayette,2010-2012,Percent,0.086
County,Fayette,2011-2013,Percent,0.084
County,Fayette,2012-2014,Percent,0.084
County,Fayette,2013-2015,Percent,0.083
County,Fayette,2014-2016,Percent,0.0852
County,Fayette,2015-2017,Percent,0.083
County,Fleming,2008-2010,Percent,0.08
County,Fleming,2009-2011,Percent,0.087
County,Fleming,2010-2012,Percent,0.096
County,Fleming,2011-2013,Percent,0.092
County,Fleming,2012-2014,Percent,0.107
County,Fleming,2013-2015,Percent,0.082
County,Fleming,2014-2016,Percent,0.07231
County,Fleming,2015-2017,Percent,0.055
County,Floyd,2008-2010,Percent,0.115
County,Floyd,2009-2011,Percent,0.123
County,Floyd,2010-2012,Percent,0.115
County,Floyd,2011-2013,Percent,0.113
County,Floyd,2012-2014,Percent,0.103
County,Floyd,2013-2015,Percent,0.105
County,Floyd,2014-2016,Percent,0.09971
County,Floyd,2015-2017,Percent,0.102
County,Franklin,2008-2010,Percent,0.112
County,Franklin,2009-2011,Percent,0.109
County,Franklin,2010-2012,Percent,0.102
County,Franklin,2011-2013,Percent,0.101
County,Franklin,2012-2014,Percent,0.1
County,Franklin,2013-2015,Percent,0.098
County,Franklin,2014-2016,Percent,0.09538
County,Franklin,2015-2017,Percent,0.094
County,Fulton,2008-2010,Percent,0.114
County,Fulton,2009-2011,Percent,0.096
County,Fulton,2010-2012,Percent,0.088
County,Fulton,2011-2013,Percent,0.103
County,Fulton,2012-2014,Percent,0.111
County,Fulton,2013-2015,Percent,0.099
County,Fulton,2014-2016,Percent,0.10549
County,Fulton,2015-2017,Percent,0.105
County,Gallatin,2008-2010,Percent,0.094
County,Gallatin,2009-2011,Percent,0.122
County,Gallatin,2010-2012,Percent,0.095
County,Gallatin,2011-2013,Percent,0.104
County,Gallatin,2012-2014,Percent,0.089
County,Gallatin,2013-2015,Percent,0.098
County,Gallatin,2014-2016,Percent,0.09009
County,Gallatin,2015-2017,Percent,0.082
County,Garrard,2008-2010,Percent,0.122
County,Garrard,2009-2011,Percent,0.112
County,Garrard,2010-2012,Percent,0.102
County,Garrard,2011-2013,Percent,0.108
County,Garrard,2012-2014,Percent,0.1
County,Garrard,2013-2015,Percent,0.1
County,Garrard,2014-2016,Percent,0.09773
County,Garrard,2015-2017,Percent,0.097
County,Grant,2008-2010,Percent,0.095
County,Grant,2009-2011,Percent,0.093
County,Grant,2010-2012,Percent,0.083
County,Grant,2011-2013,Percent,0.072
County,Grant,2012-2014,Percent,0.07
County,Grant,2013-2015,Percent,0.081
County,Grant,2014-2016,Percent,0.0788
County,Grant,2015-2017,Percent,0.094
County,Graves,2008-2010,Percent,0.081
County,Graves,2009-2011,Percent,0.076
County,Graves,2010-2012,Percent,0.067
County,Graves,2011-2013,Percent,0.066
County,Graves,2012-2014,Percent,0.067
County,Graves,2013-2015,Percent,0.067
County,Graves,2014-2016,Percent,0.07283
County,Graves,2015-2017,Percent,0.076
County,Grayson,2008-2010,Percent,0.076
County,Grayson,2009-2011,Percent,0.075
County,Grayson,2010-2012,Percent,0.078
County,Grayson,2011-2013,Percent,0.086
County,Grayson,2012-2014,Percent,0.081
County,Grayson,2013-2015,Percent,0.09
County,Grayson,2014-2016,Percent,0.09201
County,Grayson,2015-2017,Percent,0.092
County,Green,2008-2010,Percent,0.07
County,Green,2009-2011,Percent,0.075
County,Green,2010-2012,Percent,0.078
County,Green,2011-2013,Percent,0.079
County,Green,2012-2014,Percent,0.081
County,Green,2013-2015,Percent,0.078
County,Green,2014-2016,Percent,0.08857
County,Green,2015-2017,Percent,0.08
County,Greenup,2008-2010,Percent,0.085
County,Greenup,2009-2011,Percent,0.083
County,Greenup,2010-2012,Percent,0.09
County,Greenup,2011-2013,Percent,0.095
County,Greenup,2012-2014,Percent,0.095
County,Greenup,2013-2015,Percent,0.083
County,Greenup,2014-2016,Percent,0.07018
County,Greenup,2015-2017,Percent,0.075
County,Hancock,2008-2010,Percent,0.093
County,Hancock,2009-2011,Percent,0.08
County,Hancock,2010-2012,Percent,0.081
County,Hancock,2011-2013,Percent,0.073
County,Hancock,2012-2014,Percent,0.076
County,Hancock,2013-2015,Percent,0.076
County,Hancock,2014-2016,Percent,0.07629
County,Hancock,2015-2017,Percent,0.07
County,Hardin,2008-2010,Percent,0.07
County,Hardin,2009-2011,Percent,0.073
County,Hardin,2010-2012,Percent,0.075
County,Hardin,2011-2013,Percent,0.076
County,Hardin,2012-2014,Percent,0.07
County,Hardin,2013-2015,Percent,0.075
County,Hardin,2014-2016,Percent,0.08048
County,Hardin,2015-2017,Percent,0.082
County,Harlan,2008-2010,Percent,0.124
County,Harlan,2009-2011,Percent,0.113
County,Harlan,2010-2012,Percent,0.113
County,Harlan,2011-2013,Percent,0.113
County,Harlan,2012-2014,Percent,0.1
County,Harlan,2013-2015,Percent,0.108
County,Harlan,2014-2016,Percent,0.10009
County,Harlan,2015-2017,Percent,0.114
County,Harrison,2008-2010,Percent,0.107
County,Harrison,2009-2011,Percent,0.111
County,Harrison,2010-2012,Percent,0.105
County,Harrison,2011-2013,Percent,0.103
County,Harrison,2012-2014,Percent,0.085
County,Harrison,2013-2015,Percent,0.074
County,Harrison,2014-2016,Percent,0.07576
County,Harrison,2015-2017,Percent,0.08
County,Hart,2008-2010,Percent,0.086
County,Hart,2009-2011,Percent,0.092
County,Hart,2010-2012,Percent,0.084
County,Hart,2011-2013,Percent,0.088
County,Hart,2012-2014,Percent,0.076
County,Hart,2013-2015,Percent,0.074
County,Hart,2014-2016,Percent,0.08323
County,Hart,2015-2017,Percent,0.083
County,Henderson,2008-2010,Percent,0.104
County,Henderson,2009-2011,Percent,0.104
County,Henderson,2010-2012,Percent,0.093
County,Henderson,2011-2013,Percent,0.094
County,Henderson,2012-2014,Percent,0.092
County,Henderson,2013-2015,Percent,0.102
County,Henderson,2014-2016,Percent,0.11043
County,Henderson,2015-2017,Percent,0.11
County,Henry,2008-2010,Percent,0.063
County,Henry,2009-2011,Percent,0.075
County,Henry,2010-2012,Percent,0.066
County,Henry,2011-2013,Percent,0.079
County,Henry,2012-2014,Percent,0.062
County,Henry,2013-2015,Percent,0.077
County,Henry,2014-2016,Percent,0.07782
County,Henry,2015-2017,Percent,0.094
County,Hickman,2008-2010,Percent,0.081
County,Hickman,2009-2011,Percent,0.088
County,Hickman,2010-2012,Percent,0.084
County,Hickman,2011-2013,Percent,0.075
County,Hickman,2012-2014,Percent,0.068
County,Hickman,2013-2015,Percent,0.082
County,Hickman,2014-2016,Percent,0.07576
County,Hickman,2015-2017,Percent,0.09
County,Hopkins,2008-2010,Percent,0.097
County,Hopkins,2009-2011,Percent,0.093
County,Hopkins,2010-2012,Percent,0.085
County,Hopkins,2011-2013,Percent,0.086
County,Hopkins,2012-2014,Percent,0.085
County,Hopkins,2013-2015,Percent,0.085
County,Hopkins,2014-2016,Percent,0.08561
County,Hopkins,2015-2017,Percent,0.081
County,Jackson,2008-2010,Percent,0.101
County,Jackson,2009-2011,Percent,0.099
County,Jackson,2010-2012,Percent,0.101
County,Jackson,2011-2013,Percent,0.095
County,Jackson,2012-2014,Percent,0.101
County,Jackson,2013-2015,Percent,0.113
County,Jackson,2014-2016,Percent,0.10212
County,Jackson,2015-2017,Percent,0.101
County,Jefferson,2008-2010,Percent,0.094
County,Jefferson,2009-2011,Percent,0.092
County,Jefferson,2010-2012,Percent,0.091
County,Jefferson,2011-2013,Percent,0.09
County,Jefferson,2012-2014,Percent,0.09
County,Jefferson,2013-2015,Percent,0.09
County,Jefferson,2014-2016,Percent,0.09306
County,Jefferson,2015-2017,Percent,0.093
County,Jessamine,2008-2010,Percent,0.078
County,Jessamine,2009-2011,Percent,0.079
County,Jessamine,2010-2012,Percent,0.067
County,Jessamine,2011-2013,Percent,0.065
County,Jessamine,2012-2014,Percent,0.076
County,Jessamine,2013-2015,Percent,0.085
County,Jessamine,2014-2016,Percent,0.09258
County,Jessamine,2015-2017,Percent,0.094
County,Johnson,2008-2010,Percent,0.114
County,Johnson,2009-2011,Percent,0.114
County,Johnson,2010-2012,Percent,0.11
County,Johnson,2011-2013,Percent,0.105
County,Johnson,2012-2014,Percent,0.107
County,Johnson,2013-2015,Percent,0.106
County,Johnson,2014-2016,Percent,0.09824
County,Johnson,2015-2017,Percent,0.096
County,Kenton,2008-2010,Percent,0.085
County,Kenton,2009-2011,Percent,0.08
County,Kenton,2010-2012,Percent,0.081
County,Kenton,2011-2013,Percent,0.081
County,Kenton,2012-2014,Percent,0.087
County,Kenton,2013-2015,Percent,0.086
County,Kenton,2014-2016,Percent,0.08834
County,Kenton,2015-2017,Percent,0.091
County,Knott,2008-2010,Percent,0.121
County,Knott,2009-2011,Percent,0.089
County,Knott,2010-2012,Percent,0.104
County,Knott,2011-2013,Percent,0.108
County,Knott,2012-2014,Percent,0.127
County,Knott,2013-2015,Percent,0.111
County,Knott,2014-2016,Percent,0.09263
County,Knott,2015-2017,Percent,0.079
County,Knox,2008-2010,Percent,0.091
County,Knox,2009-2011,Percent,0.089
County,Knox,2010-2012,Percent,0.097
County,Knox,2011-2013,Percent,0.097
County,Knox,2012-2014,Percent,0.098
County,Knox,2013-2015,Percent,0.102
County,Knox,2014-2016,Percent,0.10843
County,Knox,2015-2017,Percent,0.114
County,Larue,2008-2010,Percent,0.063
County,Larue,2009-2011,Percent,0.048
County,Larue,2010-2012,Percent,0.046
County,Larue,2011-2013,Percent,0.057
County,Larue,2012-2014,Percent,0.062
County,Larue,2013-2015,Percent,0.068
County,Larue,2014-2016,Percent,0.07775
County,Larue,2015-2017,Percent,0.104
County,Laurel,2008-2010,Percent,0.089
County,Laurel,2009-2011,Percent,0.085
County,Laurel,2010-2012,Percent,0.09
County,Laurel,2011-2013,Percent,0.091
County,Laurel,2012-2014,Percent,0.098
County,Laurel,2013-2015,Percent,0.092
County,Laurel,2014-2016,Percent,0.0863
County,Laurel,2015-2017,Percent,0.078
County,Lawrence,2008-2010,Percent,0.172
County,Lawrence,2009-2011,Percent,0.146
County,Lawrence,2010-2012,Percent,0.14
County,Lawrence,2011-2013,Percent,0.133
County,Lawrence,2012-2014,Percent,0.13
County,Lawrence,2013-2015,Percent,0.103
County,Lawrence,2014-2016,Percent,0.09756
County,Lawrence,2015-2017,Percent,0.083
County,Lee,2008-2010,Percent,0.142
County,Lee,2009-2011,Percent,0.135
County,Lee,2010-2012,Percent,0.126
County,Lee,2011-2013,Percent,0.155
County,Lee,2012-2014,Percent,0.135
County,Lee,2013-2015,Percent,0.122
County,Lee,2014-2016,Percent,0.0812
County,Lee,2015-2017,Percent,0.082
County,Leslie,2008-2010,Percent,0.096
County,Leslie,2009-2011,Percent,0.102
County,Leslie,2010-2012,Percent,0.113
County,Leslie,2011-2013,Percent,0.122
County,Leslie,2012-2014,Percent,0.134
County,Leslie,2013-2015,Percent,0.119
County,Leslie,2014-2016,Percent,0.10606
County,Leslie,2015-2017,Percent,0.099
County,Letcher,2008-2010,Percent,0.107
County,Letcher,2009-2011,Percent,0.094
County,Letcher,2010-2012,Percent,0.099
County,Letcher,2011-2013,Percent,0.114
County,Letcher,2012-2014,Percent,0.125
County,Letcher,2013-2015,Percent,0.125
County,Letcher,2014-2016,Percent,0.11815
County,Letcher,2015-2017,Percent,0.109
County,Lewis,2008-2010,Percent,0.116
County,Lewis,2009-2011,Percent,0.116
County,Lewis,2010-2012,Percent,0.102
County,Lewis,2011-2013,Percent,0.095
County,Lewis,2012-2014,Percent,0.082
County,Lewis,2013-2015,Percent,0.078
County,Lewis,2014-2016,Percent,0.07952
County,Lewis,2015-2017,Percent,0.094
County,Lincoln,2008-2010,Percent,0.082
County,Lincoln,2009-2011,Percent,0.089
County,Lincoln,2010-2012,Percent,0.098
County,Lincoln,2011-2013,Percent,0.1
County,Lincoln,2012-2014,Percent,0.1
County,Lincoln,2013-2015,Percent,0.091
County,Lincoln,2014-2016,Percent,0.08932
County,Lincoln,2015-2017,Percent,0.095
County,Livingston,2008-2010,Percent,0.076
County,Livingston,2009-2011,Percent,0.084
County,Livingston,2010-2012,Percent,0.1
County,Livingston,2011-2013,Percent,0.117
County,Livingston,2012-2014,Percent,0.1
County,Livingston,2013-2015,Percent,0.082
County,Livingston,2014-2016,Percent,0.06485
County,Livingston,2015-2017,Percent,0.069
County,Logan,2008-2010,Percent,0.088
County,Logan,2009-2011,Percent,0.09
County,Logan,2010-2012,Percent,0.084
County,Logan,2011-2013,Percent,0.083
County,Logan,2012-2014,Percent,0.076
County,Logan,2013-2015,Percent,0.081
County,Logan,2014-2016,Percent,0.06728
County,Logan,2015-2017,Percent,0.061
County,Lyon,2008-2010,Percent,0.08
County,Lyon,2009-2011,Percent,0.102
County,Lyon,2010-2012,Percent,0.109
County,Lyon,2011-2013,Percent,0.092
County,Lyon,2012-2014,Percent,0.086
County,Lyon,2013-2015,Percent,0.08
County,Lyon,2014-2016,Percent,0.07692
County,Lyon,2015-2017,Percent,0.051
County,McCracken,2008-2010,Percent,0.087
County,McCracken,2009-2011,Percent,0.087
County,McCracken,2010-2012,Percent,0.088
County,McCracken,2011-2013,Percent,0.086
County,McCracken,2012-2014,Percent,0.09
County,McCracken,2013-2015,Percent,0.087
County,McCracken,2014-2016,Percent,0.09216
County,McCracken,2015-2017,Percent,0.088
County,McCreary,2008-2010,Percent,0.092
County,McCreary,2009-2011,Percent,0.089
County,McCreary,2010-2012,Percent,0.106
County,McCreary,2011-2013,Percent,0.108
County,McCreary,2012-2014,Percent,0.109
County,McCreary,2013-2015,Percent,0.102
County,McCreary,2014-2016,Percent,0.11521
County,McCreary,2015-2017,Percent,0.101
County,McLean,2008-2010,Percent,0.073
County,McLean,2009-2011,Percent,0.072
County,McLean,2010-2012,Percent,0.073
County,McLean,2011-2013,Percent,0.096
County,McLean,2012-2014,Percent,0.105
County,McLean,2013-2015,Percent,0.114
County,McLean,2014-2016,Percent,0.11724
County,McLean,2015-2017,Percent,0.121
County,Madison,2008-2010,Percent,0.091
County,Madison,2009-2011,Percent,0.095
County,Madison,2010-2012,Percent,0.093
County,Madison,2011-2013,Percent,0.091
County,Madison,2012-2014,Percent,0.082
County,Madison,2013-2015,Percent,0.085
County,Madison,2014-2016,Percent,0.08643
County,Madison,2015-2017,Percent,0.098
County,Magoffin,2008-2010,Percent,0.112
County,Magoffin,2009-2011,Percent,0.113
County,Magoffin,2010-2012,Percent,0.102
County,Magoffin,2011-2013,Percent,0.079
County,Magoffin,2012-2014,Percent,0.095
County,Magoffin,2013-2015,Percent,0.101
County,Magoffin,2014-2016,Percent,0.12258
County,Magoffin,2015-2017,Percent,0.119
County,Marion,2008-2010,Percent,0.094
County,Marion,2009-2011,Percent,0.097
County,Marion,2010-2012,Percent,0.094
County,Marion,2011-2013,Percent,0.096
County,Marion,2012-2014,Percent,0.086
County,Marion,2013-2015,Percent,0.078
County,Marion,2014-2016,Percent,0.07497
County,Marion,2015-2017,Percent,0.079
County,Marshall,2008-2010,Percent,0.072
County,Marshall,2009-2011,Percent,0.073
County,Marshall,2010-2012,Percent,0.069
County,Marshall,2011-2013,Percent,0.062
County,Marshall,2012-2014,Percent,0.057
County,Marshall,2013-2015,Percent,0.064
County,Marshall,2014-2016,Percent,0.08048
County,Marshall,2015-2017,Percent,0.094
County,Martin,2008-2010,Percent,0.166
County,Martin,2009-2011,Percent,0.167
County,Martin,2010-2012,Percent,0.13
County,Martin,2011-2013,Percent,0.119
County,Martin,2012-2014,Percent,0.12
County,Martin,2013-2015,Percent,0.112
County,Martin,2014-2016,Percent,0.12155
County,Martin,2015-2017,Percent,0.106
County,Mason,2008-2010,Percent,0.113
County,Mason,2009-2011,Percent,0.098
County,Mason,2010-2012,Percent,0.08
County,Mason,2011-2013,Percent,0.066
County,Mason,2012-2014,Percent,0.071
County,Mason,2013-2015,Percent,0.085
County,Mason,2014-2016,Percent,0.08157
County,Mason,2015-2017,Percent,0.085
County,Meade,2008-2010,Percent,0.091
County,Meade,2009-2011,Percent,0.087
County,Meade,2010-2012,Percent,0.073
County,Meade,2011-2013,Percent,0.063
County,Meade,2012-2014,Percent,0.068
County,Meade,2013-2015,Percent,0.079
County,Meade,2014-2016,Percent,0.0796
County,Meade,2015-2017,Percent,0.073
County,Menifee,2008-2010,Percent,0.113
